ANTONIO PUIG S.A.;Accompagnement Stratégie de Transformation
BNP Paribas SA;Learning Expedition BNP Risk - 2017/2018
BNP Paribas SA;BNP - Startcamp Asie
BNP Paribas SA;Startcamp BNP Paribas IFS
Orange;Marketer son API
Groupama SA;Groupama - Vision 2020
Coca-Cola Entreprise;Module Marketing
OVH;Formation Design Thinking
BNP Paribas SA;BNP IT - CONFERENCES 2018
Transdev Group;Innov'Cluster Saison 3
BNP Paribas Personal Finance;BNP - Arval - 2 days : LX + Design Thinking
Engie;ENGIE GEM 2018
Orange;Design Sprint S1 2018
Keolis;Keolis - prog 2018 - Part 1
Lagardère;Lagardère TR Bootcamp Saison 2
Fromageries Bel;Accompagnement DA2 - Saison 2
Orange;Formation marketing digital Saison 2
Neoma Business School;Hackathons Définition Vision
Canal +;Programme TOP50
MAIF;UX Expérience - phase pilote
Samsung Electronics France;Digital Academy Sales & Marketing
Banque Populaire Val de France;Hackathon Banque Populaire Val de France
Gares & Connexions SNCF;LX à Paris et Shanghai
Orange;Marketing Digital Saison 1 - Rallonge 2018
Parfums Christian Dior;Formation eBusiness Europe
LVMH;Deep Dive EWHOLESALE
LVMH;Accompagnement strat Fev-Avril
Orange;X-LAB
Pierre Fabre SA;Digital Academy Saison 2 (2017)
Groupama SA;Groupama Agritech
Orange;Orange - Transverse Design Sprint
Samsung Electronics France;SAMSUNG Fonctions Support
International Monetary Funds;Hackathon Côte d'Ivoire
Orange;Design Sprint CODIR Mars 2018 - Orange
RENAULT-NISSAN BV;LX Immobilier à SF et NYC
Euralis;Vision Comex Euralis
LVMH;Deep Dive SEM V2
LVMH;Deep Dive Personalisation
FABERNOVEL PARIS;Conférences BNP PARIBAS SA 2017
Publicis;Programme B2C Gares & Connexions
Jaeger-LeCoultre;Digital Compagnon Market Digital
LVMH;LX China LVMH
Orange;Lean Analytics 2018
Chanel;AI Taskforce
FC2 Events;La Poste - Convention Colissimo
Keolis;Intrapreneurship Program
LVMH;CRM Asia
LVMH;Accompagnement LVMH
Renault;LX Paris - Ecole de formation
Essilor;Communications Digitales
Orange;Studio Intrapreneuriat Orange
La Roche Posay Inter;Hackathon Effaclar
Engie;GEM Impulse 2017
Orange;Sessions Marketing S2 2017
EDF;LX EDF PULSE
Vinci;Convention HR Vinci
LVMH;LVMH Deep Dive
UNIFAF;Digital Phoenix
LVMH;CRM 2
Engie;GEM Impulse - Rallonge Communication
faberNovel Inc.;Lagardère Booster Program
Groupama;Séminaire Agile delivery
Orange;Orange design sprint Codir 7 decembre
Groupe Bel;Séminaire Digital Purchasing
Orange;Formation Marketing Digital - Rallonge 2017
Amadeus;Séminaire Innovation 2017
Schindler;Demi-journée Digitale
Abenexcapital;Atelier Lean Analytics - Abenex
Renault;Learning Expedition Pilote
BNP PARIBAS PERSONAL FINANCE;Vidéo méthodes agiles
FABERNOVEL PARIS;Start Up Studio - Journée mobilisation Nexity
Le Bon Marché;Convention managers Septembre 2017
Vinci;Convention Annuelle 2017
IBL;Séminaire Digital Transformation
LVMH;Deep Dive SEM
Canal + Overseas;Design Thinking Afrique
Orange;Digital Marketing Roumanie
Samsung Electronics France;Formation Sales & Marketing
Groupama;Groupama - Intervention + Workshop IA
MAIF;Session 100% Utilisateur Sec Gen
